"Biochar Name","Feedstock Composition","Optional comments about Feedstock","Commercial","Geographic Region","Manufacturer","Pyrolysis Method","Source: Peer Reviewed Publication","Reference","Moisture (%)","Temperature (C)","Total Ash Content (%)","C Organic (%)  ","Total C (%) Used in Plot","Total N (%)","H (%)","O (%)","pH","EC (dS/m)","Mean Particle Size (mm)","Germination Inhibition","Polycylic Aromatic Hydrocarbons (mg/kg)","Dioxin/Furan (mg/kg)","Polychlorinated Biphenyls (mg/kg)","Arsenic (mg/kg)","Cadmium (mg/kg)","Chromium (mg/kg)","Cobalt (mg/kg)","Copper (mg/kg)","Lead (mg/kg)","Molybdenum (mg/kg)","Mercury (mg/kg)","Nickel (mg/kg)","Selenium (mg/kg)","Zinc (mg/kg)","Boron (mg/kg)","Chlorine (mg/kg)","Sodium (mg/kg)","Previous Page","Cation Exchange Capacity (cmolc/kg)","Method Summary/Reference","Volatile Matter (%)","Total Surface Area (m2/g)","Method Summary/Reference","Extractable P (mg/kg)","Total P (mg/kg)","Calcium (mg/kg)","Magnesium (mg/kg)","Potassium (mg/kg)","Aluminum (mg/kg)","Iron (mg/kg)","Elemental extraction method",
"Pine 750 10 min Residence Time","Soft Wood","","Commercial","Poland","","Slow vertical, tubular Reactor Residence time 10 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","750","1.1","","92.5","","1.4","","10.2","","","","","","","","","","","","","","","","","","","","","","","","2.6","128","BET Analysis","","","","","","","","",
"Pine 750 60 min Residence Time","Soft Wood","","Commercial","Poland","","Slow vertical, tubular Reactor Residence time 60 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","750","","","92.5","","1.1","","10.4","","","","","","","","","","","","","","","","","","","","","","","","2.6","","","","","","","","","","",
"Straw 300 10 min Residence Time","Grass","","Commercial","Belgium","","Slow vertical, tubular Reactor Residence time 10 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","300","8","","50.3","","6.2","","6.1","","","","","","","","","","","","","","","","","","","","","","","","76.3","","","","","","","","","","",
"Straw 300 60 min Residence Time","Grass","","Commercial","Belgium","","Slow vertical, tubular Reactor Residence time 60 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","300","19.1","","76.2","","5.0","","9.4","","","","","","","","","","","","","","","","","","","","","","","","33.5","","","","","","","","","","",
"Straw 450 10 min Residence Time","Grass","","Commercial","Belgium","","Slow vertical, tubular Reactor Residence time 10 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","450","22.4","","84.1","","3.6","","9.8","","","","","","","","","","","","","","","","","","","","","","","","19.4","","","","","","","","","","",
"Straw 450 60 min Residence Time","Grass","","Commercial","Belgium","","Slow vertical, tubular Reactor Residence time 60 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","450","22.9","","86.4","","3.5","","10.1","","","","","","","","","","","","","","","","","","","","","","","","15.9","16","BET Analysis","","","","","","","","",
"Straw 600 10 min Residence Time","Grass","","Commercial","Belgium","","Slow vertical, tubular Reactor Residence time 10 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","600","24.5","","90.1","","2.4","","10.9","","","","","","","","","","","","","","","","","","","","","","","","8.8","","","","","","","","","","",
"Straw 600 60 min Residence Time","Grass","","Commercial","Belgium","","Slow vertical, tubular Reactor Residence time 60 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013):104-115","","600","24.5","","90.3","","2.1","","11.3","","","","","","","","","","","","","","","","","","","","","","","","7.4","22","BET Analysis","","","","","","","","",
"Straw 750 10 min Residence Time","Grass","","Commercial","Belgium","","Slow vertical, tubular Reactor Residence time 10 min","Yes","Ronsse et al., GCB Bioenergy 5(2013) 104-115","","750","26.2","","92.2","","1.6","","12.1","","","","","","","","","","","","","","","","","","","","","","","","4.2","","","","","","","","","","",
"Straw 750 60 min Residence Time","Grass","","Commercial","Belgium","","Slow vertical, tubular Reactor Residence time 60 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","750","25.8","","93.7","","1.2","","11.9","","","","","","","","","","","","","","","","","","","","","","","","4.1","","","","","","","","","","",
"GW 300 10 min Residence Time","Other/ Mixed","Green Waste","Non commercial","","","Slow vertical, tubular Reactor Residence time 10 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","300","3.6","","53.2","","6.2","","7.4","","","","","","","","","","","","","","","","","","","","","","","","74.3","","","","","","","","","","",
"GW 300 60 min Residence Time","Other/ Mixed","Green Waste","Non commercial","","","Slow vertical, tubular Reactor Residence time 60 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","300","6.8","","69.3","","5.4","","8.1","","","","","","","","","","","","","","","","","","","","","","","","48.6","","","","","","","","","","",
"GW 450 10 min Residence Time","Other/ Mixed","Green Waste","Non commercial","","","Slow vertical, tubular Reactor Residence time 10 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","450","11.1","","78.8","","4.2","","9.6","","","","","","","","","","","","","","","","","","","","","","","","25.3","","","","","","","","","","",
"GW 450 60 min Residence Time","Other/ Mixed","Green Waste","Non commercial","","","Slow vertical, tubular Reactor Residence time 60 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","450","12.0","","82.9","","3.5","","10.0","","","","","","","","","","","","","","","","","","","","","","","","18.5","17","BET Analysis","","","","","","","","",
"GW 600 10 min Residence Time","Other/ Mixed","Green Waste","Non commercial","","","Slow vertical, tubular Reactor Residence time 10 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","600","13.2","","87.7","","2.3","","10.4","","","","","","","","","","","","","","","","","","","","","","","","11.5","","","","","","","","","","",
"GW 600 60 min Residence Time","Other/ Mixed","Green Waste","Non commercial","","","Slow vertical, tubular Reactor Residence time 60 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","600","13.4","","88.4","","2.0","","11.3","","","","","","","","","","","","","","","","","","","","","","","","8.8","46","BET Analysis","","","","","","","","",
"GW 750 10 min Residence Time","Other/ Mixed","Green Waste","Non commercial","","","Slow vertical, tubular Reactor Residence time 10 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","750","13.9","","87.5","","1.5","","11.4","","","","","","","","","","","","","","","","","","","","","","","","3.5","","","","","","","","","","",
"GW 750 60 min Residence Time","Other/ Mixed","Green Waste","Non commercial","","","Slow vertical, tubular Reactor Residence time 60 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","750","13.4","","93.2","","1.3","","11.6","","","","","","","","","","","","","","","","","","","","","","","","1.9","","","","","","","","","","",
"Algae 300 10 min Residence Time","Algae","","Commercial","Belgium","SBAE Industries","Slow vertical, tubular Reactor Residence time 10 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","300","46.3","","62.7","","7.2","","4.9","","","","","","","","","","","","","","","","","","","","","","","","70.0","","","","","","","","","","",
"Algae 300 60 min Residence Time","Algae","","Commercial","Belgium","SBAE Industries","Slow vertical, tubular Reactor Residence time 60 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","300","55.8","","69.5","","6.9","","7.7","","","","","","","","","","","","","","","","","","","","","","","","55.2","","","","","","","","","","",
"Algae 450 10 min Residence Time","Algae","","Commercial","Belgium","SBAE Industries","Slow vertical, tubular Reactor Residence time 10 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","450","68.6","","74.5","","4.5","","9.1","","","","","","","","","","","","","","","","","","","","","","","","27.5","","","","","","","","","","",
"Algae 450 60 min Residence Time","Algae","Green Waste","Commercial","Belgium","SBAE Industries","Slow vertical, tubular Reactor Residence time 60 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","450","71.8","","78.7","","4.0","","9.3","","","","","","","","","","","","","","","","","","","","","","","","19.1","14","BET Analysis","","","","","","","","",
"Algae 600 10 min Residence Time","Algae","","Commercial","Belgium","SBAE Industries","Slow vertical, tubular Reactor Residence time 10 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","600","72.2","","80.1","","2.7","","11.1","","","","","","","","","","","","","","","","","","","","","","","","18.9","","","","","","","","","","",
"Algae 600 60 min Residence Time","Algae","","Commercial","Belgium","SBAE Industries","Slow vertical, tubular Reactor Residence time 60 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","600","73.0","","83.4","","2.0","","11.9","","","","","","","","","","","","","","","","","","","","","","","","15.7","19","BET Analysis","","","","","","","","",
"Algae 750 10 min Residence Time","Algae","","Commercial","Belgium","SBAE Industries","Slow vertical, tubular Reactor Residence time 10 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","750","74.8","","86.4","","1.5","","12.4","","","","","","","","","","","","","","","","","","","","","","","","10.1","","","","","","","","","","",
"Algae 750 60 min Residence Time","Algae","","Commercial","Belgium","SBAE Industries","Slow vertical, tubular Reactor Residence time 60 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","750","76.4","","90.6","","1.4","","12.5","","","","","","","","","","","","","","","","","","","","","","","","3.9","","","","","","","","","","",
"GW 550","Other/ Mixed","Green Waste","Non commercial","","","Slow","Yes","Galvez et al., Agriculture, Ecosystems & Environment 160, 1 (2012) 3-14","","550","","86.3","","0.3","","","6.6","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Wheat Straw 525 Slow","Grass","","Non commercial","","","Slow","Yes","Bruun et al., Soil Sci. Soc. Am. J. 76 (2012) 1142-1148","","525","19.8","","69.6","1.5","2.1","7.1","10.1","","0.113","","","","","","","","","","","","","","","","","","","","","","","0.6","BET Analysis","","","","","","","","",
"Wheat Straw 525 Fast","Grass","","Non commercial","","","Fast","Yes","Bruun et al., Soil Sci. Soc. Am. J. 76 (2012) 1142-1148","","525","21.6","","49.3","1.2","3.7","24.1","6.8","","0.023","","","","","","","","","","","","","","","","","","","","","","","1.6","BET Analysis","","","","","","","","",
"Wheat Straw 550","Grass","","Non commercial","","","Fast","Yes","Bruun et al., Soil Sci. Soc. Am. J. 76 (2012) 1142-1148","","550","26.4","","49.6","1.1","2.9","20.0","7.1","","0.012","","","","","","","","","","","","","","","","","","","","","","","2.4","BET Analysis","","","","","","","","",
"SG 250","Grass","Switchgrass","Non commercial","North Carolina, US","","Slow","Yes","Schomberg et al., joenq 41 (2012) 1087-1095","","250","2.6","","55.3","0.43","6.0","35.6","5.4","","","","","","","","","","","","","","","","","","","","","","","","74.4","0.4","","","","","","","","","",
"SG 500","Grass","Switchgrass","Non commercial","North Carolina, US","","Slow","Yes","Schomberg et al., joenq 41 (2012) 1087-1095","","500","7.8","","84.4","1.07","2.4","4.3","8.0","","","","","","","","","","","","","","","","","","","","","","","","13.4","62.2","","","","","","","","","",
"HW 500","Hard Wood","Hardwood Waste","Commercial","British Columbia, Canada","CQuest; Dynamotive Energy Systems","Fast","Yes","Schomberg et al., joenq 41 (2012) 1087-1095","","500","8.6","","71","0.3","3.4","16.3","5.7","","","","","","","","","","","","","","","","","","","","","","","","33.7","1.28","","","","","","","","","",
"PP 300","Soft Wood","Pitch Pine","Non commercial","","","Fast fluidized-bed reactor ","Yes","Kim et al., Bioresource Technology 118 (2012) 158-162","","300","4.5","","63.9","0.3","5.4","30.4","","","","","","","","","","","","","","","","","","","","","","","","","","2.9","BET analysis","","","","","","","","",
"PP 400","Soft Wood","Pitch Pine","Non commercial","","","Fast fluidized-bed reactor","Yes","Kim et al., Bioresource Technology 118 (2012) 158-162","","400","7.9","","70.7","0.4","5.4","30.4","","","","","","","","","","","","","","","","","","","","","","","","","","4.8","BET analysis","","","","","","","","",
"PP 500","Soft Wood","Pitch Pine","Non commercial","","","Fast fluidized-bed reactor","Yes","Kim et al., Bioresource Technology 118 (2012) 158-162","","500","7.7","","90.5","0.3","2.5","6.7","","","","","","","","","","","","","","","","","","","","","","","","","","175.4","BET analysis","","","","","","","","",
"SB 300","Other/ Mixed","Soybean Stover","Non commercial","Korea","","Slow","Yes","Ahmad et al., Bioresource Technology 118 (2012) 536-544","4.50","300","10.41","","68.81","1.88","4.29","24.99","7.27","","","","","","","","","","","","","","","","","","","","","","","","","5.61","FE-SEM equipped with an energy dispersive spectroscopy","","","","","","","","",
"SB 700","Other/ Mixed","Soybean Stover","Commercial","Korea","","Slow","Yes","Ahmad et al., Bioresource Technology 118 (2012) 536-544","0.42","700","17.18","","81.98","1.30","1.27","15.45","11.32","","","","","","","","","","","","","","","","","","","","","","","","","448.2","FE-SEM equipped with an energy dispersive spectroscopy","","","","","","","","",
"PS 300","Nutshell","Peanut Shells","Non commercial","Korea","","Slow","Yes","Ahmad et al., Bioresource Technology 118 (2012) 536-544","1.29","300","1.24","","68.27","1.91","3.85","25.89","7.76","","","","","","","","","","","","","","","","","","","","","","","","","3.14","FE-SEM equipped with an energy dispersive spectroscopy","","","","","","","","",
"PS 700","Nutshell","Peanut Shell","Non commercial","Korea","","Slow","Yes","Ahmad et al., Bioresource Technology 118 (2012) 536-544","0.35","700","8.91","","83.76","1.14","1.75","13.34","10.57","","","","","","","","","","","","","","","","","","","","","","","","","448.2","FE-SEM equipped with an energy dispersive spectroscopy","","","","","","","","",
"Pine 350-5","Soft Wood","","Non commercial","Scotland","","Batch with a heat rate of 5°C min-1","Yes","Crombie et al., GCB Bioenergy 5 (2013) 122-131 ","","350","1.4","","69.64","0.00","3.79","26.58","","","","","","","","","","","","","","","","","","","","","","","","","50.8","","","","","","","","","","",
"Pine 450-5","Soft Wood","","Non commercial","Scotland","","Batch with a heat rate of 5°C min-1","Yes","Crombie et al., GCB Bioenergy 5 (2013) 122-131","","450","2.9","","79.86","0.00","2.68","17.47","","","","","","","","","","","","","","","","","","","","","","","","","34.9","","","","","","","","","","",
"Pine 550-5","Soft Wood","","Non commercial","Scotland","","Batch with a heat rate of 5°C min-1","Yes","Crombie et al., GCB Bioenergy 5 (2013) 122-131","","550","4.2","","89.93","0.00","1.57","8.50","","","","","","","","","","","","","","","","","","","","","","","","","22.0","","","","","","","","","","",
"Pine 650-5","Soft Wood","","Non commercial","Scotland","","Batch with a heat rate of 5°C min-1","Yes","Crombie et al., GCB Bioenergy 5 (2013) 122-131","","650","5.9","","94.61","0.00","1.97","3.42","","","","","","","","","","","","","","","","","","","","","","","","","15.2","","","","","","","","","","",
"Pine 350-100","Soft Wood","","Non commercial","Scotland","","Batch with a heat rate of 100°C min-1","Yes","Crombie et al., GCB Bioenergy 5 (2013) 122-131","","350","3.4","","70.97","1.37","4.94","22.73","","","","","","","","","","","","","","","","","","","","","","","","","38.7","","","","","","","","","","",
